Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
SP0001,9,254,1,1,0.75,
SP0002,44,254,1,1,0.75,
SP0003,10,254,1,1,10.07,
SP0004,145,254,1,1,0.25,
SP0005,19,254,1,1,1.7,
SP0007,110,254,1,1,0.133,
SP0008,5,254,1,1,0.341,
SP0009,78,254,1,1,1.05,
SP0011,24,254,1,1,0.06,
SP0013,13,254,1,1,0.1,
SP0014,45,254,1,1,2.5,
SP0016,12,254,1,1,2,
SP0017,3040,254,1,1,0.03,
SP0022,2,254,1,1,3.75,
SP0024,24,254,1,1,3.75,
SP0025,26,254,1,1,3.75,
SP0026,1,254,1,1,3,
SP0032,40,254,1,1,0.48,
SP0042,62,254,1,1,0.5,
SP0044,239,254,1,1,0.45,
SP0045,425,254,1,1,0.4,
SP0047,28,254,1,1,3.55,
SP0052,26,254,1,1,0.32,
SP0053,130,254,1,1,0.37,
SP0054,22,254,1,1,0.4,
SP0055,10,254,1,1,0.5,
SP0056,12,254,1,1,2.2,
SP0064,3320,254,1,1,0.35,
SP0069,337,254,1,1,0.45,
SP0074,70,254,1,1,4,
SP0076,20,254,1,1,4.2,
SP0077,10,254,1,1,1.9,
SP0078,42,254,1,1,1.5,
SP0082,60,254,1,1,0.5,
SP0085,40,254,1,1,1.2,
SP0090,67,254,1,1,1.42,
SP0098,40,254,1,1,0.77,
SP0102,10,254,1,1,2,
SP0108,14,254,1,1,4.7,
TOL003,17,254,1,1,21,
TOL004,12,254,1,1,10.8,
TOL005,17,254,1,1,1.7,
TOL008,5,254,1,1,0.22,
TOL009,211,254,1,1,9.5,
TOL010,1,254,1,1,260,
TOL014,43,254,1,1,2.3,
TOL015,27,254,1,1,5.4,
TOL016,2,254,1,1,2.89,
TOL017,34,254,1,1,0.7,
TOL020,13,254,1,1,2.7,
TOL021,16,254,1,1,10.8,
TOL022,1,254,1,1,1.7,
TOL023,15,254,1,1,0.8,
TOL027,18,254,1,1,3.24,
TOL029,1,254,1,1,6.7,
TOL030,8,254,1,1,1.56,
TOL032,22,254,1,1,3.7,
TOL034,7,254,1,1,0.36,
TOL038,1,254,1,1,0.45,
TOL039,7,254,1,1,0.6,
TOL040,46,254,1,1,0.75,
TOL041,57,254,1,1,0.8,
TOL042,97,254,1,1,0.88,
TOL045,72,254,1,1,1.1,
TOL046,4,254,1,1,1.8,
TOL047,2,254,1,1,2.5,
TOL048,1,254,1,1,1.1,
TOL049,51,254,1,1,4.2,
TOL051,2,254,1,1,2.7,
TOL053,7,254,1,1,0.1,
TOL055,131,254,1,1,5.6,
TOL056,7,254,1,1,36,
TOL058,24,254,1,1,1.4,
TOL061,13,254,1,1,1.15,
TOL062,25,254,1,1,0.35,
TOL063,345,254,1,1,0.6625,
TOL064,35,254,1,1,0.325,
TOL065,48,254,1,1,0.52,
TOL066,60,254,1,1,0.483,
TOL067,19,254,1,1,1.6,
TOL068,41,254,1,1,0.75,
TOL069,15,254,1,1,3.2,
TOL070,8,254,1,1,2,
TOL073,10,254,1,1,0.56,
TOL076,15,254,1,1,1,
TOL077,1,254,1,1,2,
TOL078,16,254,1,1,4.5,
TOL079,10,254,1,1,1.2,
TOL080,1,254,1,1,2.8,
TOL083,3,254,1,1,60,
TOR001,6,254,1,1,12.5,
TOR002,15,254,1,1,78,
TOR003,25,254,1,1,169.95,
TOR004,47,254,1,1,138,
TOR005,12,254,1,1,70.75,
TOR006,18,254,1,1,124.63,
TOR007,24,254,1,1,78,
TOR008,44,254,1,1,74.16,
TOR010,15,254,1,1,132,
TOR012,16,254,1,1,38,
