"Product Code","Product Name",Variant,Expected,Counted
SP0086,ព្រីភ្លើងឈ្មោល,,0.0000,
SP0087,ស្គត់រុំខ្សែភ្លើងខ្មៅ,,20.0000,
SP0088,"អំពូលភ្លើងឈុត 1.2m",,24.0000,
SP0089,ជក់លាបថ្នាំ,,0.0000,
SP0090,រ៉ូឡូរុញលាបថ្នាំ,,0.0000,
SP0091,"ស្រ្ពៃបាញ់ថ្នាំពណ៏ក្រហម U90",,30.0000,
SP0092,ស្គត់ទឹក,,0.0000,
SP0093,ដុយប៉ុសផ្សាឈ្មោលតូច,,0.0000,
SP0094,ដុយប៉ុសផ្សាឈ្មោលធំ,,0.0000,
SP0095,ដុយប៉ុសផ្សាញីតូច,,0.0000,
SP0096,ដុយប៉ុសផ្សាញីធំ,,0.0000,
SP0097,កាវញីឈ្មោលបិតដែក,,0.0000,
SP0098,ផ្លែកាំបិតកាត់ទ័រ,,10.0000,
SP0099,កាវបិតសរស,,0.0000,
SP0100,កាវបិតទុយោ,,1.0000,
SP0101,"អំពូលភ្លើល 0.80",,0.0000,
SP0102,"អំពូលភ្លើងហ្វា 1000W (អំពូល)",,0.0000,
SP0103,ទុយោថ្លឹងទឹក​,,0.0000,
SP0104,"ព្រីភ្លើងរន្ធ2 កុងតាក់1",,0.0000,
SP0105,ព្រីភ្លើងរន្ធ2កុងតាក់2,,0.0000,
SP0106,ទុយោស្ទង់ទឹក,,0.0000,
SP0107,ក្បាលបាញ់វីស,,0.0000,
SP0108,"អំពូលម៉ែត្រ 6តឹក",,0.0000,
SP0109,"ក្រដាស់ខាត់លេខ 220",,0.0000,
SP0110,"ក្រដាស់ខាត់លេខ 320",,0.0000,
SP0111,"ស្គត់ក្រណាត់ ក្រហម ២ហ៊ុន (១សុង = ១២ PCs)",,120.0000,
SP0113,"ផ្លែស្វានបុក ៦-១៦០",,0.0000,
SP0114,"ផ្លែស្វានបុក ៨-១៦០",,0.0000,
SP0115,"ផ្លែស្វានបុក ១០-១៦០",,0.0000,
SP0116,"ផ្លែស្វានបុក ១២-១៦០",,0.0000,
SP0117,"ផ្លែស្វានបុក ១៤-១៦០",,0.0000,
TOL001,កន្រ្តៃកាតស៊ីឡាយកាត់ខ្សែងភ្លើង,,0.0000,
TOL002,កន្រ្តៃកាត់ដែក30-ធំ,,0.0000,
TOL003,កន្រ្តៃកាត់ដែក42-ធំ,,0.0000,
TOL004,កុងគួរពត់ដែក,,0.0000,
TOL005,"កូនប្រយោល-តំរង់ខ្សែ ១kg",,15.0000,
TOL006,"កែវស្ទង់កំរិតស្មើ 1.2m",,5.0000,
TOL007,កៅឡាក់យោង,,0.0000,
TOL008,"ខ្សែកាប 6លី",,0.0000,
TOL009,ខ្សែក្រវ៉ាត់សុវត្ថភាព,,0.0000,
TOL010,"ខ្សែប៉ុសផ្សា លេខ50",,0.0000,
TOL011,ខ្សែពួរ,,0.0000,
TOL012,ចបកាប់,,20.0000,
TOL013,"ញញួរ ១គីឡូ",,0.0000,
TOL014,"ញញួរ ៣គីឡូ",,12.0000,
TOL015,"ញញួរ ៥គីឡូ",,5.0000,
TOL016,"ត្រសេះ កាប់ថ្ម រឺ ជីកដី",,0.0000,
TOL017,ញញួរដំរាបការ៉ូ​-ជ័រ,,0.0000,
TOL018,ដង្កាបតូចធម្មតា,,0.0000,
TOL019,ដុំតេសបេតុង,,0.0000,
TOL020,"ដែកកាប់តូច (ដង្កាប់ចងលួស)",,0.0000,
TOL021,ដែកកុងគួរពត់ដែក-ធំ,,0.0000,
TOL022,"ទូនឹវិស តូច",,0.0000,
TOL023,ទំពក់រ៉តយោងឥវ៉ាន់,,0.0000,
TOL024,"ប៉ាតង់ 4mx6m",,0.0000,
TOL025,"ប៉ាតង់ 6mx8m",,0.0000,
TOL026,ប៉ែលចូកខ្សាច់,,10.0000,
